dataset|maxCycleLength|maxPathLength|meanCycleLength|meanLengthOfAppearance|meanPathLength|minCycleLength|minPathLength|task|totalBranchRoots|totalCycles|totalInteractions|totalSelfLoops|totalStates|userid
birdstrikes1|0.11363636363636363||0.07386363636363637|||0.045454545454545456||t4|0.16666666666666666|4|44|0.4772727272727273|12|33
birdstrikes1|0||0|||0||t4|0.1111111111111111|0|41|0.1951219512195122|27|37
birdstrikes1|0||0|||0||t4|0.125|0|24|0.25|16|53
birdstrikes1|0.22580645161290322||0.22580645161290322|||0.22580645161290322||t4|0.25|1|31|0.45161290322580644|12|57
birdstrikes1|0.14285714285714285||0.14285714285714285|||0.14285714285714285||t4|0.0|1|14|0.7857142857142857|2|61
birdstrikes1|0||0|||0||t4|0.09090909090909091|0|36|0.3333333333333333|22|73
birdstrikes1|0||0|||0||t4|0.1111111111111111|0|40|0.625|9|77
birdstrikes1|0.22727272727272727||0.18181818181818182|||0.13636363636363635||t4|0.2|2|22|0.3181818181818182|10|81
birdstrikes1|0.22580645161290322||0.12903225806451613|||0.06451612903225806||t4|0.09090909090909091|3|31|0.5161290322580645|11|85
birdstrikes1|0||0|||0||t4|0.08333333333333333|0|26|0.5|12|97
weather1|0||0|||0||t1|0.1111111111111111|0|17|0.35294117647058826|9|01
weather1|0.21621621621621623||0.21621621621621623|||0.21621621621621623||t1|0.3|1|37|0.5675675675675675|10|05
weather1|0.38461538461538464||0.2820512820512821|||0.15384615384615385||t1|0.2857142857142857|3|13|0.07692307692307693|7|113
weather1|0.36||0.36|||0.36||t1|0.2727272727272727|1|25|0.36|11|117
weather1|0||0|||0||t1|0.0|0|12|0.4166666666666667|6|21
weather1|0||0|||0||t1|0.14285714285714285|0|13|0.3076923076923077|7|25
weather1|0||0|||0||t1|0.0|0|3|0.6666666666666666|1|29
weather1|0||0|||0||t1|0.13333333333333333|0|28|0.35714285714285715|15|41
weather1|0||0|||0||t1|0.18181818181818182|0|16|0.125|11|45
weather1|0||0|||0||t1|0.2|0|32|0.5|10|53
weather1|0||0|||0||t1|0.0|0|9|0.3333333333333333|6|65
weather1|0.42105263157894735||0.2631578947368421|||0.10526315789473684||t1|0.1111111111111111|2|19|0.3157894736842105|9|69
weather1|0||0|||0||t1|0.0|0|21|0.47619047619047616|11|73
weather1|0||0|||0||t1|0.0|0|2|0.0|2|77
weather1|0||0|||0||t1|0.0|0|16|0.5625|7|93
weather1|0||0|||0||t1|0.0|0|9|0.4444444444444444|5|97
weather1|0||0|||0||t2|0.16666666666666666|0|25|0.68|6|01
weather1|0||0|||0||t2|0.0|0|28|0.7857142857142857|6|05
weather1|0.13636363636363635||0.11363636363636363|||0.09090909090909091||t2|0.4|2|22|0.5909090909090909|5|113
weather1|0||0|||0||t2|0.0|0|21|0.6190476190476191|7|117
weather1|0||0|||0||t2|0.0|0|16|0.75|4|21
weather1|0||0|||0||t2|0.0|0|7|0.42857142857142855|4|25
weather1|0||0|||0||t2|0.0|0|11|0.7272727272727273|3|29
weather1|0||0|||0||t2|0.0|0|18|0.6666666666666666|5|41
weather1|0.5||0.5|||0.5||t2|0.0|1|8|0.375|4|45
weather1|0||0|||0||t2|0.16666666666666666|0|30|0.7666666666666667|6|53
weather1|0||0|||0||t2|0.0|0|7|0.42857142857142855|4|65
weather1|0||0|||0||t2|0.375|0|23|0.30434782608695654|8|69
weather1|0||0|||0||t2|0.0|0|28|0.7142857142857143|6|73
weather1|0||0|||0||t2|0.0|0|15|0.8|3|77
weather1|0||0|||0||t2|0.25|0|16|0.6875|4|93
weather1|0||0|||0||t2|0.0|0|15|0.7333333333333333|4|97
weather1|0.23076923076923078||0.19230769230769232|||0.15384615384615385||t3|0.16666666666666666|2|13|0.38461538461538464|6|01
weather1|0||0|||0||t3|0.0|0|16|0.75|4|05
weather1|0||0|||0||t3|0.2|0|23|0.6086956521739131|5|113
weather1|0.14285714285714285||0.10714285714285714|||0.07142857142857142||t3|0.14285714285714285|2|28|0.6785714285714286|7|117
weather1|0||0|||0||t3|0.0|0|4|0.25|3|21
weather1|0||0|||0||t3|0.0|0|13|0.6923076923076923|4|25
weather1|0.08695652173913043||0.08695652173913043|||0.08695652173913043||t3|0.25|1|23|0.7391304347826086|4|29
weather1|0.13333333333333333||0.13333333333333333|||0.13333333333333333||t3|0.3333333333333333|2|15|0.6666666666666666|3|41
weather1|0||0|||0||t3|0.0|0|3|0.0|3|45
weather1|0.16||0.16|||0.16||t3|0.14285714285714285|1|25|0.68|7|53
weather1|0||0|||0||t3|0.0|0|6|0.16666666666666666|4|65
weather1|0.4||0.4|||0.4||t3|0.25|1|20|0.35|8|69
weather1|0||0|||0||t3|0.0|0|20|0.75|5|73
weather1|0.16666666666666666||0.14814814814814814|||0.1111111111111111||t3|0.2|3|18|0.5|5|77
weather1|0.1875||0.14583333333333334|||0.125||t3|0.2|3|16|0.375|5|93
weather1|0.0625||0.0625|||0.0625||t3|0.16666666666666666|2|32|0.75|6|97
weather1|0||0|||0||t4|0.08333333333333333|0|47|0.7021276595744681|12|01
weather1|0.1891891891891892||0.1891891891891892|||0.1891891891891892||t4|0.15384615384615385|1|37|0.5675675675675675|13|05
weather1|0||0|||0||t4|0.0|0|23|0.6956521739130435|6|113
weather1|0.3333333333333333||0.3333333333333333|||0.3333333333333333||t4|0.2|1|30|0.5333333333333333|10|117
weather1|0||0|||0||t4|0.0967741935483871|0|43|0.18604651162790697|31|21
weather1|0.23529411764705882||0.23529411764705882|||0.23529411764705882||t4|0.2|1|34|0.6470588235294118|10|25
weather1|0||0|||0||t4|0.0|0|27|0.8148148148148148|5|29
weather1|0.125||0.0875|||0.05||t4|0.2222222222222222|2|40|0.675|9|41
weather1|0||0|||0||t4|0.1875|0|40|0.5|16|45
weather1|0.05555555555555555||0.05555555555555555|||0.05555555555555555||t4|0.15384615384615385|1|36|0.5555555555555556|13|53
weather1|0||0|||0||t4|0.0|0|24|0.4583333333333333|13|65
weather1|0.04878048780487805||0.04878048780487805|||0.04878048780487805||t4|0.6666666666666666|2|41|0.4146341463414634|9|69
weather1|0.35294117647058826||0.35294117647058826|||0.35294117647058826||t4|0.0|1|34|0.6176470588235294|12|73
weather1|0||0|||0||t4|0.0|0|17|0.6470588235294118|6|77
weather1|0||0|||0||t4|0.125|0|22|0.45454545454545453|8|93
weather1|0||0|||0||t4|0.07692307692307693|0|31|0.4838709677419355|13|97
faa1|0.10526315789473684||0.10526315789473684|||0.10526315789473684||t1|0.2|2|19|0.5263157894736842|5|09
faa1|0.13636363636363635||0.13636363636363635|||0.13636363636363635||t1|0.1111111111111111|2|22|0.4090909090909091|9|109
faa1|0.2857142857142857||0.21428571428571427|||0.14285714285714285||t1|0.2857142857142857|2|14|0.14285714285714285|7|13
faa1|0||0|||0||t1|0.0|0|13|0.6153846153846154|5|21
faa1|0.09090909090909091||0.09090909090909091|||0.09090909090909091||t1|0.2857142857142857|1|22|0.5|7|33
faa1|0||0|||0||t1|0.0|0|23|0.4782608695652174|11|37
faa1|0||0|||0||t1|0.2|0|20|0.7|5|41
faa1|0.125||0.125|||0.125||t1|0.2|5|16|0.25|5|45
faa1|0||0|||0||t1|0.0|0|19|0.7368421052631579|5|57
faa1|0||0|||0||t1|0.0|0|21|0.7619047619047619|5|65
faa1|0.07407407407407407||0.07407407407407407|||0.07407407407407407||t1|0.25|1|27|0.2222222222222222|12|69
faa1|0.15789473684210525||0.15789473684210525|||0.15789473684210525||t1|0.14285714285714285|1|19|0.5263157894736842|7|81
faa1|0||0|||0||t1|0.0|0|7|0.42857142857142855|3|85
faa1|0.11538461538461539||0.11538461538461539|||0.11538461538461539||t1|0.375|1|26|0.5|8|89
faa1|0.2222222222222222||0.14814814814814814|||0.07407407407407407||t1|0.07142857142857142|4|27|0.3333333333333333|14|93
faa1|0||0|||0||t2|0.0|0|32|0.875|4|09
faa1|0||0|||0||t2|0.0|0|14|0.7142857142857143|4|109
faa1|0||0|||0||t2|0.0|0|11|0.7272727272727273|3|13
faa1|0||0|||0||t2|0.0|0|30|0.8666666666666667|4|21
faa1|0||0|||0||t2|0.25|0|22|0.7272727272727273|4|33
faa1|0.15384615384615385||0.15384615384615385|||0.15384615384615385||t2|0.5|1|13|0.38461538461538464|4|37
faa1|0||0|||0||t2|0.0|0|12|0.6666666666666666|4|41
faa1|0||0|||0||t2|0.0|0|17|0.7647058823529411|4|45
faa1|0||0|||0||t2|0.0|0|18|0.7777777777777778|4|57
faa1|0||0|||0||t2|0.0|0|5|0.2|4|65
faa1|0||0|||0||t2|0.4|0|35|0.5428571428571428|5|69
faa1|0||0|||0||t2|0.0|0|4|0.0|4|81
faa1|0||0|||0||t2|0.0|0|10|0.6|4|85
faa1|0||0|||0||t2|0.0|0|7|0.42857142857142855|4|89
faa1|0||0|||0||t2|0.0|0|20|0.8|3|93
faa1|0||0|||0||t3|0.0|0|9|0.6666666666666666|3|09
faa1|0||0|||0||t3|0.16666666666666666|0|27|0.6666666666666666|6|109
faa1|0.3||0.3|||0.3||t3|0.4|1|10|0.3|5|13
faa1|0||0|||0||t3|0.25|0|10|0.5|4|21
faa1|0||0|||0||t3|0.0|0|10|0.6|4|33
faa1|0||0|||0||t3|0.0|0|23|0.391304347826087|11|37
faa1|0||0|||0||t3|0.2|0|12|0.3333333333333333|5|41
faa1|0||0|||0||t3|0.0|0|6|0.5|3|45
faa1|0.23076923076923078||0.23076923076923078|||0.23076923076923078||t3|0.16666666666666666|1|13|0.38461538461538464|6|57
faa1|0||0|||0||t3|0.0|0|6|0.3333333333333333|4|65
faa1|0.11764705882352941||0.10294117647058823|||0.058823529411764705||t3|0.2727272727272727|4|34|0.4117647058823529|11|69
faa1|0||0|||0||t3|0.0|0|24|0.875|3|81
faa1|0.1||0.1|||0.1||t3|0.3333333333333333|2|20|0.7|3|85
faa1|0||0|||0||t3|0.0|0|15|0.6666666666666666|4|89
faa1|0||0|||0||t3|0.0|0|11|0.6363636363636364|4|93
faa1|0.25||0.15|||0.1||t4|0.21428571428571427|3|40|0.4|14|09
faa1|0.18181818181818182||0.18181818181818182|||0.18181818181818182||t4|0.375|1|33|0.5454545454545454|8|109
faa1|0||0|||0||t4|0.0|0|15|0.6|6|13
faa1|0||0|||0||t4|0.0|0|36|0.8888888888888888|4|21
faa1|0||0|||0||t4|0.09090909090909091|0|30|0.5|11|33
faa1|0.3023255813953488||0.17829457364341084|||0.09302325581395349||t4|0.17391304347826086|3|43|0.2558139534883721|23|37
faa1|0||0|||0||t4|0.0|0|12|0.5|6|41
faa1|0||0|||0||t4|0.0|0|11|0.7272727272727273|3|45
faa1|0.21212121212121213||0.18181818181818182|||0.15151515151515152||t4|0.125|2|33|0.3333333333333333|16|57
faa1|0||0|||0||t4|0.0|0|7|0.5714285714285714|3|65
faa1|0.2558139534883721||0.17829457364341086|||0.11627906976744186||t4|0.375|3|43|0.37209302325581395|16|69
faa1|0.35714285714285715||0.26785714285714285|||0.17857142857142858||t4|0.14285714285714285|2|28|0.32142857142857145|14|81
faa1|0||0|||0||t4|0.0|0|7|0.0|7|85
faa1|0||0|||0||t4|0.2|0|38|0.5263157894736842|10|89
faa1|0.17857142857142858||0.17857142857142858|||0.17857142857142858||t4|0.25|1|28|0.5714285714285714|8|93
