dataset|leaves|leavesNotNormalized|maxBranchingFactor|maxBranchingFactorNotNormalized|maxDepth|maxDepthNotNormalized|meanAspectRatio|meanBranchingFactor|meanBranchingFactorNotNormalized|meanDepth|meanDepthNotNormalized|task|totalInteractions|totalNodes|userid
birdstrikes1|0.1111111111111111|1|0.1111111111111111|1.0|0.8888888888888888|8.0|0.2222222222222222|0.09876543209876543|0.8888888888888888|0.4444444444444444|4.0|t3|25|9|05
birdstrikes1|0.5|3|0.5|3.0|0.5|3.0|0.6250000000000001|0.1388888888888889|0.8333333333333334|0.2222222222222222|1.3333333333333333|t3|20|6|09
birdstrikes1|0.16666666666666666|2|0.16666666666666666|2.0|0.5833333333333334|7.0|0.21999999999999997|0.0763888888888889|0.9166666666666666|0.3472222222222222|4.166666666666667|t3|40|12|109
birdstrikes1|0.375|3|0.375|3.0|0.5|4.0|0.5|0.109375|0.875|0.21875|1.75|t3|21|8|13
birdstrikes1|0.36363636363636365|4|0.2727272727272727|3.0|0.6363636363636364|7.0|0.27027027027027023|0.08264462809917356|0.9090909090909091|0.30578512396694213|3.3636363636363638|t3|23|11|25
birdstrikes1|0.3333333333333333|2|0.3333333333333333|2.0|0.6666666666666666|4.0|0.38461538461538464|0.1388888888888889|0.8333333333333334|0.3611111111111111|2.1666666666666665|t3|17|6|29
birdstrikes1|0.2|1|0.2|1.0|0.8|4.0|0.4|0.16|0.8|0.4|2.0|t3|35|5|33
birdstrikes1|0.3333333333333333|2|0.3333333333333333|2.0|0.6666666666666666|4.0|0.35714285714285715|0.1388888888888889|0.8333333333333334|0.3888888888888889|2.3333333333333335|t3|11|6|37
birdstrikes1|0.2857142857142857|2|0.2857142857142857|2.0|0.7142857142857143|5.0|0.3|0.12244897959183673|0.8571428571428571|0.40816326530612246|2.857142857142857|t3|16|7|53
birdstrikes1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t3|14|4|57
birdstrikes1|0.2857142857142857|2|0.2857142857142857|2.0|0.7142857142857143|5.0|0.3333333333333333|0.12244897959183673|0.8571428571428571|0.3673469387755102|2.5714285714285716|t3|27|7|61
birdstrikes1|0.2222222222222222|2|0.2222222222222222|2.0|0.4444444444444444|4.0|0.39999999999999997|0.09876543209876543|0.8888888888888888|0.24691358024691357|2.2222222222222223|t3|19|9|73
birdstrikes1|0.3|3|0.2|2.0|0.3|3.0|0.5294117647058824|0.09|0.9|0.17|1.7|t3|37|10|77
birdstrikes1|0.2|1|0.2|1.0|0.8|4.0|0.4|0.16|0.8|0.4|2.0|t3|10|5|81
birdstrikes1|0.375|3|0.25|2.0|0.5|4.0|0.4666666666666667|0.109375|0.875|0.234375|1.875|t3|13|8|85
