dataset|leaves|leavesNotNormalized|maxBranchingFactor|maxBranchingFactorNotNormalized|maxDepth|maxDepthNotNormalized|meanAspectRatio|meanBranchingFactor|meanBranchingFactorNotNormalized|meanDepth|meanDepthNotNormalized|task|totalInteractions|totalNodes|userid
faa1|0.6666666666666666|2|0.6666666666666666|2.0|0.3333333333333333|1.0|1.0|0.2222222222222222|0.6666666666666666|0.2222222222222222|0.6666666666666666|t3|20|3|85
faa1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t3|15|4|89
faa1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t3|11|4|93
faa1|0.38095238095238093|8|0.19047619047619047|4.0|0.23809523809523808|5.0|0.37037037037037035|0.045351473922902494|0.9523809523809523|0.12244897959183673|2.5714285714285716|t4|40|21|09
faa1|0.18181818181818182|2|0.18181818181818182|2.0|0.6363636363636364|7.0|0.21739130434782608|0.08264462809917356|0.9090909090909091|0.38016528925619836|4.181818181818182|t4|33|11|109
faa1|0.16666666666666666|1|0.16666666666666666|1.0|0.8333333333333334|5.0|0.33333333333333337|0.1388888888888889|0.8333333333333334|0.4166666666666667|2.5|t4|15|6|13
faa1|0.25|1|0.25|1.0|0.75|3.0|0.5|0.1875|0.75|0.375|1.5|t4|36|4|21
faa1|0.21428571428571427|3|0.21428571428571427|3.0|0.42857142857142855|6.0|0.26|0.0663265306122449|0.9285714285714286|0.25510204081632654|3.5714285714285716|t4|30|14|33
faa1|0.2608695652173913|6|0.13043478260869565|3.0|0.4782608695652174|11.0|0.205607476635514|0.04158790170132325|0.9565217391304348|0.20226843100189035|4.6521739130434785|t4|43|23|37
faa1|0.16666666666666666|1|0.16666666666666666|1.0|0.8333333333333334|5.0|0.33333333333333337|0.1388888888888889|0.8333333333333334|0.4166666666666667|2.5|t4|12|6|41
faa1|0.3333333333333333|1|0.3333333333333333|1.0|0.6666666666666666|2.0|0.6666666666666666|0.2222222222222222|0.6666666666666666|0.3333333333333333|1.0|t4|11|3|45
faa1|0.23529411764705882|4|0.17647058823529413|3.0|0.4117647058823529|7.0|0.2711864406779661|0.05536332179930796|0.9411764705882353|0.2041522491349481|3.4705882352941178|t4|33|17|57
faa1|0.3333333333333333|1|0.3333333333333333|1.0|0.6666666666666666|2.0|0.6666666666666666|0.2222222222222222|0.6666666666666666|0.3333333333333333|1.0|t4|7|3|65
faa1|0.3684210526315789|7|0.10526315789473684|2.0|0.5263157894736842|10.0|0.16071428571428573|0.04986149584487535|0.9473684210526315|0.31024930747922436|5.894736842105263|t4|43|19|69
faa1|0.2857142857142857|4|0.21428571428571427|3.0|0.7142857142857143|10.0|0.19999999999999998|0.0663265306122449|0.9285714285714286|0.33163265306122447|4.642857142857143|t4|28|14|81
faa1|0.14285714285714285|1|0.14285714285714285|1.0|0.8571428571428571|6.0|0.2857142857142857|0.12244897959183673|0.8571428571428571|0.42857142857142855|3.0|t4|7|7|85
faa1|0.2|2|0.2|2.0|0.7|7.0|0.23076923076923078|0.09|0.9|0.39|3.9|t4|38|10|89
faa1|0.375|3|0.25|2.0|0.375|3.0|0.5|0.109375|0.875|0.21875|1.75|t4|28|8|93
